kegg	drugbank
D00160	DB00513
D03742	DB00514
D00275	DB00515
D00232	DB00517
D00134	DB00518
D00383	DB00519
D07626	DB00520
D07624	DB00521
D01346	DB00522
D02815	DB00523
D00431	DB00524
D00381	DB00525
D01790	DB00526
D00733	DB00527
D00579	DB00529
D07907	DB00530
D07760	DB00531
D00375	DB00532
D00568	DB00533
D00917	DB00535
D00186	DB00537
D01646	DB00538
D08288	DB00540
D08679	DB00541
D07499	DB00542
D00228	DB00543
D00584	DB00544
D00487	DB00545
D02770	DB00546
D03034	DB00548
D00411	DB00549
D00562	DB00550
D00220	DB00551
D00155	DB00552
D00139	DB00553
D00127	DB00554
D00354	DB00555
D01738	DB00556
D08054	DB00557
D00902	DB00558
D01227	DB00559
D01079	DB00560
D07873	DB00561
D00651	DB00562
D00142	DB00563
D00252	DB00564
D00572	DB00566
D00263	DB00567
D01295	DB00568
D08443	DB00571
D00113	DB00572
D00968	DB00573
D07945	DB00574
D00281	DB00575
D00870	DB00576
D00398	DB00577
D07614	DB00578
D00367	DB00579
D00352	DB00581
D00578	DB00582
D02176	DB00583
D07892	DB00584
D00440	DB00585
D07816	DB00586
D02846	DB00587
D01708	DB00588
D08132	DB00589
D07874	DB00590
D01825	DB00591
D00807	DB00592
D00539	DB00593
D07447	DB00594
D01137	DB00597
D08106	DB00598
D05072	DB00600
D00947	DB00601
D00804	DB00602
D00951	DB00603
D00274	DB00604
D00120	DB00605
D01256	DB00606
D08242	DB00607
D02366	DB00608
D00591	DB00609
D00837	DB00611
D02342	DB00612
D02922	DB00613
D00830	DB00614
D00424	DB00615
D01070	DB00616
D00495	DB00617
D00290	DB00618
D01441	DB00619
D00385	DB00620
D00462	DB00621
D07977	DB00623
D00075	DB00624
D00896	DB00625
D00128	DB00626
D00049	DB00627
D00694	DB00628
D04375	DB00629
D00514	DB00633
D05947	DB00634
D00473	DB00635
D00279	DB00636
D00234	DB00637
D00171	DB00638
D07598	DB00639
D00045	DB00640
D00434	DB00641
D07472	DB00642
D00368	DB00643
D00202	DB00646
D07809	DB00647
D00420	DB00648
D00445	DB00649
D07986	DB00650
D00691	DB00651
D00498	DB00652
D01108	DB00653
D00356	DB00654
D00067	DB00655
D08626	DB00656
D01983	DB00658
D07058	DB00659
D00773	DB00660
D02356	DB00661
D08643	DB00662
D04208	DB00663
D01216	DB00664
D00965	DB00665
D00095	DB00668
D00451	DB00669
D08389	DB00670
D00258	DB00671
D00271	DB00672
D02968	DB00673
D04292	DB00674
D08559	DB00675
D01138	DB00676
D00043	DB00677
D08146	DB00678
D00373	DB00679
D05077	DB00680
D00203	DB00681
D00550	DB00683
D00063	DB00684
D07967	DB00687
D00752	DB00688
D01949	DB00689
D00329	DB00690
D01261	DB00693
D07776	DB00694
D00331	DB00695
D07906	DB00696
D00439	DB00698
D01290	DB00699
D01115	DB00700
D00894	DB00701
D00655	DB00703
D05113	DB00704
D05938	DB00708
D00353	DB00709
D07825	DB00711
D00330	DB00712
D08307	DB00713
D07460	DB00714
D02362	DB00715
D05129	DB00716
D00182	DB00717
D01655	DB00718
D08422	DB00721
D00362	DB00722
D08201	DB00723
D02500	DB00724
D02070	DB00725
D00394	DB00726
D00515	DB00727
D00765	DB00728
D00372	DB00730
D01111	DB00731
D00758	DB00732
D00426	DB00734
D07917	DB00736
D08163	DB00737
D01074	DB00739
D00775	DB00740
D00088	DB00741
D00062	DB00742
D08018	DB00743
D00414	DB00744
D01832	DB00745
D03670	DB00746
D00138	DB00747
D00315	DB00749
D00553	DB00750
D01713	DB00751
D08625	DB00752
D00545	DB00753
D00708	DB00754
D00094	DB00755
D00859	DB00756
D00769	DB00758
D00201	DB00759
D02222	DB00760
D02060	DB00761
D08086	DB00762
D00401	DB00763
D08227	DB00764
D00762	DB00765
D00243	DB00767
D00180	DB00770
D00534	DB00772
D00125	DB00773
D00654	DB00774
D00533	DB00776
D02361	DB00777
D01710	DB00778
D00183	DB00779
D08349	DB00780
D00105	DB00783
D00151	DB00784
D00222	DB00787
D00118	DB00788
D03753	DB00790
D06265	DB00791
D00339	DB00793
D00474	DB00794
D00448	DB00795
D00626	DB00796
D01132	DB00799
D00613	DB00800
D00338	DB00801
D07122	DB00802
D02138	DB00803
D05039	DB00805
D00501	DB00806
D08448	DB00807
D00345	DB00808
D00397	DB00809
D00779	DB00810
D00423	DB00811
D00510	DB00812
D00320	DB00813
D00969	DB00814
D01045	DB00815
D00685	DB00816
D02305	DB00817
D00549	DB00818
D00218	DB00819
D02008	DB00820
D00131	DB00822
D01294	DB00823
D04006	DB00824
D00064	DB00825
D00884	DB00826
D00872	DB00827
D04253	DB00828
D00293	DB00829
D08636	DB00831
D00508	DB00832
D00256	DB00833
D00585	DB00834
D07543	DB00835
D08144	DB00836
D05621	DB00837
D07719	DB00838
D00379	DB00839
D01536	DB00840
D03879	DB00841
D00464	DB00842
D00670	DB00843
D08246	DB00844
D00278	DB00845
D00328	DB00846
D03634	DB00847
D08114	DB00848
D00700	DB00849
D00503	DB00850
D00288	DB00851
D08449	DB00852
D06067	DB00853
D08123	DB00854
D02375	DB00857
D00496	DB00859
D00472	DB00860
