kegg	drugbank
D09950	DB08901
D05706	DB08902
D09872	DB08903
D03441	DB08904
D07260	DB08905
D06315	DB08906
D09592	DB08907
D03846	DB08908
D10127	DB08909
D08976	DB08910
D10175	DB08911
D10064	DB08912
D10398	DB08913
D08845	DB08915
D09724	DB08916
D08920	DB08917
D10072	DB08918
D00194	DB08921
D02926	DB08924
D07348	DB08925
D07356	DB08928
D10066	DB08930
D09572	DB08931
D10135	DB08932
D01980	DB08933
D10366	DB08934
D09321	DB08935
D04832	DB08938
D01567	DB08940
D04639	DB08942
D04624	DB08943
D08088	DB08944
D01797	DB08947
D01376	DB08948
D01813	DB08949
D04531	DB08950
D04530	DB08951
D08078	DB08952
D08064	DB08954
D07268	DB08955
D07068	DB08958
D02427	DB08962
D02073	DB08964
D04200	DB08974
D07951	DB08978
D07185	DB08980
D01344	DB08981
D07187	DB08983
D04102	DB08984
D07931	DB08985
D07320	DB08986
D04095	DB08987
D01435	DB08988
D04080	DB08989
D07902	DB08990
D01394	DB08991
D01671	DB08992
D07897	DB08993
D07138	DB08994
D07858	DB08995
D02565	DB08996
D07370	DB08999
D07307	DB09000
D03557	DB09002
D07718	DB09003
D07716	DB09004
D01300	DB09006
D07198	DB09007
D01075	DB09008
D07468	DB09009
D01784	DB09010
D07300	DB09011
D01864	DB09012
D07496	DB09013
D07316	DB09014
D07601	DB09016
D01744	DB09017
D07101	DB09018
D07542	DB09019
D00245	DB09020
D03089	DB09021
D07192	DB09022
D07498	DB09023
D03208	DB09026
D10442	DB09027
D07770	DB09028
D09967	DB09029
D09765	DB09030
D02494	DB09031
D08083	DB09033
D10082	DB09034
D10316	DB09035
D09669	DB09036
D10574	DB09037
D10459	DB09038
D09893	DB09039
D10021	DB09040
D10169	DB09041
D09686	DB09042
D08843	DB09043
D09889	DB09045
D05014	DB09046
D10575	DB09047
D10572	DB09048
D10479	DB09049
D10097	DB09050
D10333	DB09051
D09325	DB09052
D10223	DB09053
D10560	DB09054
D07190	DB09055
D03008	DB09059
D07642	DB09062
D10551	DB09063
D03521	DB09064
D09881	DB09065
D03592	DB09067
D10184	DB09068
D01606	DB09069
D01639	DB09070
D09388	DB09071
D10372	DB09073
D09730	DB09074
D09546	DB09075
D10180	DB09076
D10559	DB09077
D09919	DB09078
D10481	DB09079
D10145	DB09080
D01750	DB09081
D09696	DB09082
D07165	DB09083
D00551	DB09085
D07454	DB09088
D07689	DB09093
D03093	DB09096
D05884	DB09098
D07431	DB09099
D10105	DB09102
D10595	DB09105
D03335	DB09106
D08402	DB09113
D00581	DB09115
D03288	DB09116
D09612	DB09119
D00991	DB09121
D10483	DB09122
D06457	DB09126
D10309	DB09128
D08007	DB09132
D01258	DB09133
D01555	DB09134
D02161	DB09135
D06037	DB09137
D02029	DB09138
D06041	DB09139
D00003	DB09140
D02224	DB09141
D05845	DB09142
D10119	DB09143
D09985	DB09144
D00001	DB09145
D10002	DB09148
D09617	DB09149
D10231	DB09151
D00083	DB09152
D02056	DB09153
D05855	DB09154
D04420	DB09155
D01893	DB09156
D00004	DB09157
D06050	DB09160
D01060	DB09161
D02284	DB09163
D01514	DB09166
D07872	DB09167
D10582	DB09183
D08673	DB09185
D05173	DB09186
D04781	DB09187
D05150	DB09199
D03493	DB09201
D07148	DB09203
D07465	DB09204
D08239	DB09205
D09316	DB09208
D07385	DB09209
D02722	DB09211
D08149	DB09212
D03715	DB09213
D07269	DB09214
D07267	DB09215
D01183	DB09216
D03712	DB09217
D03555	DB09218
D01810	DB09220
D01611	DB09221
D01176	DB09223
D07309	DB09224
D01321	DB09225
D01562	DB09229
D01145	DB09230
D01173	DB09232
D04657	DB09236
D05087	DB09242
D08392	DB09244
D02559	DB09245
D07338	DB09247
D00060	DB09255
D01244	DB09256
D01846	DB09257
D03337	DB09259
D10148	DB09263
D10741	DB09264
D09729	DB09265
D01065	DB09270
D07099	DB09271
D10403	DB09272
D03898	DB09273
D02482	DB09274
D03251	DB09278
D10134	DB09280
D03271	DB09281
D01320	DB09282
D07159	DB09284
D05078	DB09285
D02622	DB09286
D03370	DB09287
D07294	DB09288
D02575	DB09289
D08466	DB09290
D10742	DB09291
D10225	DB09292
D02259	DB09293
D02701	DB09295
D10745	DB09296
D10580	DB09297
D08515	DB09298
D10428	DB09299
D01451	DB09300
D00080	DB09301
D10335	DB09302
D10557	DB09303
D08511	DB09304
D10532	DB09310
D03306	DB09311
D08808	DB09312
D01761	DB09313
D08761	DB09314
D05987	DB09318
D01170	DB09321
D02223	DB09324
D02457	DB09347
D05630	DB09348
D08383	DB09350
D00193	DB09357
D01755	DB09366
D07434	DB09369
D05207	DB09371
D01342	DB09374
D03484	DB09375
D04227	DB09378
D00954	DB09389
D06048	DB09397
D00176	DB09421
D04527	DB09425
D00028	DB09462
D01732	DB09472
D04526	DB09473
D03769	DB09477
D05864	DB09484
D01714	DB09487
D02760	DB09488
D05225	DB09496
D01749	DB09510
D00073	DB09526
D02021	DB09527
D01087	DB09543
D10018	DB09559
D09727	DB09564
D10130	DB09570
D05304	DB11058
D02295	DB11061
D01730	DB11080
D00133	DB11085
D00305	DB11089
D05919	DB11092
D00121	DB11100
D05962	DB11104
D01561	DB11107
D03473	DB11121
D01168	DB11153
D06223	DB11155
D08451	DB11156
D01234	DB11190
D00042	DB11191
D00061	DB11195
D03726	DB11204
D03853	DB11221
D04996	DB11228
D01488	DB11264
D02379	DB11282
D05963	DB11309
D08796	DB11312
D00117	DB11359
D09994	DB11362
D10542	DB11363
D07261	DB11364
D01528	DB11367
D07282	DB11371
D02840	DB11372
D02380	DB11373
D02620	DB11376
D03179	DB11378
D03194	DB11379
D03340	DB11380
D07634	DB11385
D01942	DB11386
D03565	DB11389
D07750	DB11390
D07768	DB11392
D07774	DB11393
D03667	DB11394
D03689	DB11395
D03791	DB11397
D03794	DB11398
D03867	DB11399
D02473	DB11404
D04037	DB11405
D04135	DB11409
D04140	DB11410
D04160	DB11411
D07950	DB11412
D04194	DB11413
D05915	DB11420
D04671	DB11423
D08150	DB11424
D08151	DB11425
D08156	DB11426
D08165	DB11428
D05025	DB11429
D08228	DB11430
D05084	DB11431
D05122	DB11432
D05144	DB11433
D02513	DB11436
D05175	DB11437
D05210	DB11440
D08299	DB11443
D05291	DB11446
D02601	DB11447
D08372	DB11448
D05468	DB11449
D01133	DB11450
D01941	DB11451
D05642	DB11454
D05753	DB11456
D05771	DB11458
D05948	DB11461
D05951	DB11463
D05952	DB11464
D06075	DB11466
D06127	DB11468
D02492	DB11471
D06158	DB11472
D00805	DB11473
D02490	DB11475
D08683	DB11477
D06362	DB11478
D07857	DB11480
D03002	DB11481
D07657	DB11485
D08247	DB11490
D07828	DB11511
D07840	DB11512
D04215	DB11518
D08069	DB11521
D04830	DB11525
D10229	DB11526
D08391	DB11537
D08487	DB11543
D08502	DB11544
D05820	DB11545
D08596	DB11549
D08627	DB11551
D08632	DB11552
D07795	DB11556
D09921	DB11560
D10377	DB11563
D10071	DB11569
D05335	DB11570
D10625	DB11574
D10639	DB11575
D04168	DB11576
D10679	DB11581
D07276	DB11582
D09706	DB11588
D00864	DB11590
D10773	DB11595
D04715	DB11596
D04474	DB11602
D07384	DB11609
D08314	DB11610
D10374	DB11611
D10806	DB11613
D01885	DB11616
D02756	DB11617
D04317	DB11619
D01693	DB11622
D03349	DB11623
D06066	DB11630
D07222	DB11636
D09673	DB11644
D09666	DB11689
D01719	DB11705
D11041	DB11712
D10808	DB11714
D10883	DB11730
D02549	DB11753
D10061	DB11776
D10308	DB11817
D07283	DB11823
D03671	DB11921
D10555	DB11952
D09883	DB11963
D05218	DB11988
D02489	DB11989
D10221	DB12078
D00057	DB12153
D10031	DB12202
D01552	DB12243
D07364	DB12245
D08441	DB12278
D01056	DB12319
D10079	DB12332
D01181	DB12407
D01195	DB12667
D08377	DB12712
D04075	DB12736
D01131	DB12770
D03082	DB12783
D10676	DB12865
D01773	DB12877
D01677	DB12911
D08266	DB12942
D01309	DB12947
D08590	DB13025
D10563	DB13074
D05208	DB13116
D08124	DB13139
D01416	DB13145
D00149	DB13154
D01995	DB13156
D07717	DB13158
D10859	DB13164
D08688	DB13166
D01252	DB13167
D10813	DB13173
D08079	DB13178
D01322	DB13179
D06051	DB13205
D02397	DB13207
D01642	DB13209
D01975	DB13217
D07972	DB13223
D01289	DB13232
D02787	DB13233
D07371	DB13238
D07546	DB13242
D06130	DB13243
D06114	DB13245
D07233	DB13264
D02406	DB13266
D07811	DB13270
D07208	DB13306
D01513	DB13314
D07284	DB13328
D07834	DB13345
D01271	DB13346
D01190	DB13362
D07145	DB13381
D00861	DB13392
D01348	DB13399
D01471	DB13443
D07418	DB13444
D01804	DB13452
D01339	DB13456
D07643	DB13470
D03424	DB13504
D02324	DB13518
D07218	DB13520
D10843	DB13521
D01380	DB13524
D08427	DB13527
D01466	DB13544
D07419	DB13595
D07143	DB13616
D01298	DB13620
D02301	DB13627
D01647	DB13628
D01052	DB13667
D07649	DB13682
D07239	DB13699
D05406	DB13739
D00215	DB13747
D00157	DB13751
D06646	DB13757
D07179	DB13764
D01905	DB13765
D02474	DB13772
D06328	DB13781
D01582	DB13783
D07238	DB13795
D01910	DB13813
D07469	DB13816
D01760	DB13832
D07234	DB13836
D07327	DB13837
D02613	DB13841
D03561	DB13843
D01440	DB13845
D01584	DB13853
D07213	DB13854
D07223	DB13857
D04582	DB13861
D00828	DB13865
D07939	DB13866
D07981	DB13867
D07106	DB13871
D02560	DB13876
D09913	DB13877
D10814	DB13879
D09966	DB13896
D01398	DB13909
D00522	DB13919
D00957	DB13943
D04061	DB13952
D04063	DB13954
D01577	DB13960
D04983	DB13972
D02038	DB13977
D08281	DB13981
D11021	DB13997
D08232	DB13999
D01735	DB14002
D10400	DB14004
D00810	DB14006
D09317	DB14011
D10913	DB14012
D02539	DB14025
D08586	DB14026
D09723	DB14027
D08283	DB14028
D08518	DB14038
D10928	DB14039
D08328	DB14043
D08042	DB14044
D10727	DB14048
D00541	DB14061
D02189	DB14077
D04887	DB14078
D07576	DB14081
D01420	DB14084
D03077	DB14125
D05567	DB14153
D07518	DB14176
D01422	DB14177
D10364	DB14185
D01114	DB14189
D03772	DB14207
D01400	DB14212
D05853	DB14482
D00860	DB14492
D00690	DB14512
D06876	DB14538
D00165	DB14539
D01619	DB14540
D00976	DB14541
D01886	DB14543
D01442	DB14545
D09685	DB14569
D03945	DB14600
D00982	DB14632
D02480	DB14638
D04627	DB14640
D08416	DB14646
D07796	DB14649
D01191	DB14654
D01534	DB14655
D00770	DB14656
D01229	DB14657
D01072	DB14658
D04900	DB14659
D07749	DB14681
D03083	DB14719
D09707	DB14726
D01403	DB14739
D04456	DB14740
D11559	DB15528
D09201	DB15533
D02959	DB15587
D11432	DB15653
