drug	uniprot
DB00001 	 P00734
DB00002 	 P00533
DB00002 	 O75015
DB00002 	 P02745
DB00002 	 P02746
DB00002 	 P02747
DB00002 	 P08637
DB00002 	 P12314
DB00002 	 P12318
DB00004 	 P01589
DB00004 	 P14784
DB00004 	 P31785
DB00005 	 P01375
DB00005 	 P12314
DB00005 	 P12318
DB00005 	 P31994
DB00005 	 P31995
DB00005 	 P08637
DB00005 	 O75015
DB00005 	 P01374
DB00005 	 P02745
DB00006 	 P00734
DB00007 	 P30968
DB00008 	 P48551
DB00008 	 P17181
DB00009 	 P00747
DB00009 	 P02671
DB00009 	 Q03405
DB00009 	 P05121
DB00010 	 Q02643
DB00011 	 P48551
DB00011 	 P17181
DB00012 	 P19235
DB00013 	 P00747
DB00013 	 Q03405
DB00013 	 P05121
DB00013 	 P05120
DB00013 	 P05154
DB00013 	 P98164
DB00013 	 Q9Y5Y6
DB00013 	 P14543
DB00014 	 P22888
DB00014 	 P30968
DB00015 	 P00747
DB00015 	 P02671
DB00015 	 P05121
DB00016 	 P19235
DB00017 	 P30988
DB00018 	 P17181
DB00018 	 P48551
DB00019 	 Q99062
DB00020 	 P15509
DB00020 	 P26951
DB00020 	 P32927
DB00020 	 P34741
DB00020 	 P13727
DB00022 	 P17181
DB00022 	 P48551
DB00024 	 P16473
DB00025 	 P00742
DB00025 	 P00740
DB00025 	 P04275
DB00025 	 O14832
DB00025 	 P07307
DB00025 	 P11021
DB00025 	 P27797
DB00025 	 P27824
DB00025 	 P49257
DB00025 	 Q07954
DB00025 	 Q8NI22
DB00026 	 P14778
DB00028 	 P12314
DB00028 	 Q92637
DB00028 	 P12318
DB00028 	 P31994
DB00028 	 P31995
DB00028 	 P08637
DB00028 	 O75015
DB00028 	 P01024
DB00028 	 P0C0L4
DB00028 	 P0C0L5
DB00028 	 P01031
DB00029 	 P00747
DB00029 	 P02671
DB00029 	 P05121
DB00030 	 P06213
DB00030 	 P08069
DB00030 	 P06400
DB00030 	 P16870
DB00031 	 P00747
DB00031 	 P02671
DB00031 	 Q03405
DB00031 	 P05121
DB00031 	 P05120
DB00031 	 P05452
DB00031 	 P05787
DB00031 	 P07355
DB00031 	 P27797
DB00031 	 P27824
DB00031 	 Q07954
DB00032 	 P23945
DB00032 	 P22888
DB00033 	 P15260
DB00033 	 P38484
DB00034 	 P17181
DB00034 	 P48551
DB00035 	 P30518
DB00035 	 P37288
DB00035 	 P47901
DB00036 	 P00742
DB00036 	 P10646
DB00036 	 P38435
DB00036 	 P08709
DB00036 	 P13726
DB00038 	 Q14626
DB00039 	 P21802
DB00039 	 O14786
DB00039 	 P11362
DB00039 	 P22455
DB00039 	 P22607
DB00039 	 P98160
DB00040 	 P47871
DB00040 	 O95838
DB00040 	 P43220
DB00041 	 P14784
DB00041 	 P01589
DB00041 	 P31785
DB00042 	 P63027
DB00042 	 P23763
DB00042 	 Q8N9I0
DB00043 	 P12319
DB00043 	 Q01362
DB00044 	 P22888
DB00045 	 O60603
DB00046 	 P06213
DB00046 	 P08069
DB00047 	 P06213
DB00047 	 P08069
DB00048 	 P02452
DB00048 	 P02458
DB00048 	 P02461
DB00048 	 P08123
DB00050 	 P30968
DB00050 	 P22888
DB00051 	 P01375
DB00052 	 P10912
DB00052 	 P16471
DB00054 	 P05106
DB00054 	 P08514
DB00054 	 P12318
DB00054 	 P31994
DB00054 	 P04004
DB00055 	 P00451
DB00055 	 P12259
DB00055 	 P05121
DB00055 	 P07204
DB00055 	 P07225
DB00055 	 P00734
DB00055 	 P02776
DB00055 	 P05154
DB00055 	 P35237
DB00055 	 Q9UNN8
DB00056 	 P20138
DB00056 	 O75015
DB00056 	 P08637
DB00056 	 P12314
DB00058 	 P08246
DB00060 	 P17181
DB00060 	 P48551
DB00061 	 P62993
DB00063 	 P05106
DB00065 	 P01375
DB00066 	 P23945
DB00067 	 P30518
DB00067 	 P37288
DB00067 	 P47901
DB00068 	 P17181
DB00068 	 P48551
DB00069 	 P17181
DB00069 	 P48551
DB00070 	 P01137
DB00071 	 P06213
DB00071 	 P08069
DB00071 	 P14735
DB00071 	 P01906
DB00071 	 P01920
DB00071 	 P06400
DB00071 	 P07339
DB00071 	 P16870
DB00071 	 P16519
DB00071 	 P29120
DB00071 	 P48745
DB00071 	 P98164
DB00071 	 Q16270
DB00071 	 Q96C24
DB00072 	 P04626
DB00073 	 P11836
DB00074 	 P01589
DB00074 	 P14784
DB00075 	 P04234
DB00075 	 P07766
DB00075 	 P09693
DB00075 	 P20963
DB00075 	 O75015
DB00078 	 P11836
DB00081 	 P11836
DB00081 	 P31994
DB00082 	 P10912
DB00083 	 P60880
DB00083 	 P62745
DB00086 	 P00747
DB00086 	 P25116
DB00087 	 P31358
DB00087 	 O75015
DB00087 	 P08637
DB00087 	 P12314
DB00087 	 P12318
DB00087 	 P31994
DB00087 	 P31995
DB00089 	 Q04609
DB00091 	 P49069
DB00091 	 Q96LZ3
DB00091 	 P62937
DB00091 	 P30405
DB00092 	 P06729
DB00092 	 P08637
DB00092 	 O75015
DB00093 	 P37288
DB00094 	 P23945
DB00095 	 P20701
DB00095 	 P20702
DB00097 	 P22888
DB00097 	 P23945
DB00098 	 P06126
DB00098 	 Q95460
DB00098 	 P20701
DB00098 	 P42081
DB00098 	 P31994
DB00098 	 P01730
DB00098 	 P05556
DB00098 	 P06756
DB00098 	 P05106
DB00099 	 Q99062
DB00099 	 P08246
DB00100 	 P00742
DB00100 	 P03951
DB00100 	 P08709
DB00100 	 P00451
DB00100 	 P00734
DB00100 	 Q07954
DB00100 	 P38435
DB00102 	 P09619
DB00102 	 P16234
DB00102 	 P01023
DB00105 	 P48551
DB00105 	 P17181
DB00106 	 P30968
DB00107 	 P30559
DB00107 	 P01178
DB00108 	 P13612
DB00108 	 O75015
DB00108 	 P05362
DB00108 	 P12314
DB00109 	 Q53I07
DB00110 	 P13843
DB00110 	 O75015
DB00110 	 P00736
DB00110 	 P02745
DB00110 	 P02746
DB00110 	 P02747
DB00110 	 P08637
DB00110 	 P12314
DB00110 	 P31994
DB00111 	 P01589
DB00111 	 P14784
DB00111 	 O75015
DB00111 	 P00736
DB00111 	 P02745
DB00111 	 P02746
DB00111 	 P02747
DB00111 	 P08637
DB00111 	 P12314
DB00111 	 P12318
DB00111 	 P31994
DB00111 	 P31995
DB00112 	 P15692
DB00112 	 P02745
DB00112 	 P02746
DB00112 	 P02747
DB00112 	 P08637
DB00112 	 P12314
DB00112 	 P12318
DB00112 	 P31994
DB00112 	 P31995
DB00113 	 P13688
DB00114 	 Q9BYV1
DB00114 	 Q99259
DB00114 	 P35520
DB00114 	 Q16719
DB00114 	 P34896
DB00114 	 Q9Y697
DB00114 	 P17174
DB00114 	 P04181
DB00114 	 P11926
DB00114 	 Q8N5Z0
DB00114 	 P80404
DB00114 	 Q9NVS9
